,task_name
0,cam_ms.usp_fact_prc_daily_sell_in
1,cam_ms.usp_fact_prc_agg_sell_in
2,cam_ms.usp_fact_prc_agg_eff_sales_order
3,cam_ms.usp_fact_prc_daily_sell_in_target
4,cam_ms.usp_fact_prc_daily_fgi_wo_order
5,cam_ms.usp_fact_prc_daily_eff_sales_order
6,cam_ms.usp_fact_qtrly_idc_yoy
7,cam_ms.usp_fact_prc_idg_sd_daily_sell_in
8,cam_ms.usp_fact_prc_idg_pc_daily_sell_in
9,cam_ms.usp_fact_prc_daily_sell_in_snapshot
10,cam_ms.usp_fact_prc_daily_aging_fgi
11,cam_ms.usp_fact_daily_lecoo_sell_in
12,cam_ms.usp_dim_prc_business_unit_hier
13,cam_ms.usp_dim_prc_cust_seg_hier
14,dwc_ms.usp_lecoo_sales_data_dwc
15,dwd_ms.usp_prc_daily_cadence_and_target_target
16,dwd_ms.usp_prc_daily_cadence_and_target_cadence
17,dwc_ms.usp_fgi_inhouse_vmi_wo_order
18,dwc_ms.usp_china_idc_yoy_target
19,dwc_ms.usp_fgi_inhouse_vmi
20,dwc_ms.usp_sell_in_kpi_dwc_sci
21,dwc_ms.usp_sell_in_kpi_dwc_xinchuang
22,dwc_ms.usp_sell_in_kpi_dwc_finance_update
23,dwc_ms.usp_sell_in_kpi_dwc_bw_and_lecoo_duichong
24,dwc_ms.usp_sell_in_kpi_dwc_manual_adj
25,dwc_ms.usp_sell_in_kpi_dwc_huishang
26,dwc_ms.usp_sell_in_kpi_dwc_cdc
27,dwc_ms.usp_sell_in_kpi_dwc_bw_184update
28,dwc_ms.usp_sell_in_kpi_dwc_rel
29,dwc_ms.usp_sell_in_kpi_dwc_csdc
30,dwc_ms.usp_sell_in_kpi_dwc_del_xc
31,dwc_ms.usp_sell_in_kpi_dwc_xinchuang_supply
32,dwc_ms.usp_sell_in_kpi_dwc_rel_supply
33,dwc_ms.usp_sell_in_kpi_dwc_common
34,dwc_ms.usp_sell_in_kpi_dwc_bw_s4
35,dwd_ms.usp_bp_determ
36,dwd_ms.usp_smb_cust_seg
37,dwd_ms.usp_con_cust_seg
38,dwd_ms.usp_lecoo_final_sales_data
39,dwd_ms.usp_lecoo_bulevel6_mapping
40,dwd_ms.usp_lecoo_lebei_store_info
41,dwd_ms.usp_lecoo_prc_province
42,dwd_ms.usp_product_characteristic_mapping
43,dwd_ms.usp_lecoo_daily_sales_data
44,dwd_ms.usp_prc_business_unit_lvl
45,dwd_ms.usp_con_lecoo_cust_seg_chnl_mapping
46,dwd_ms.usp_con_product_seg_by_ph4
47,dwd_ms.usp_smb_lecoo_cust_seg_channel_mapping
48,dwd_ms.usp_smb_product_seg_by_ph4
49,dwd_ms.usp_lecoo_internal_supplier
50,dwd_ms.usp_lecoo_affiliated_cust
51,dwd_ms.usp_smb_cust_segmentation4_determ
52,dwd_ms.usp_con_cust_segmentation4_determ
53,dwd_ms.usp_product_ln_to_business_unit
54,dwd_ms.usp_fr_t_0102_bu_prf_mapping_new
55,dwd_ms.usp_fr_5s_bu_tree_mapping
56,dwd_ms.usp_rel_industry_order_info
57,dwd_ms.usp_smb_funding_rel
58,dwd_ms.usp_ciop_prc_bms_con_reseller_transformation
59,dwd_ms.usp_fr_t_0101_smb_bp_list
60,dwd_ms.usp_smb_rel_dflt_combat_unit
61,dwd_ms.usp_rel_xinchuang_info
62,dwd_ms.usp_third_party_gpn_mapping
63,dwd_ms.usp_cdc_and_rdc_shipping_reverse
64,dwd_ms.usp_rel_city_std_nm
65,dwd_ms.usp_prc_consumer_stock_transfer
66,dwd_ms.usp_rel_xinchuang_order
67,pl_ms_main_data_processing_detail
68,pl_ms_mian_data_isg_gp_processing_dashboard
69,pl_ms_main_data_processing_detail_by_sd
70,pl_ms_main_data_processing_dashboard
71,ods.usp_chinabpportal_purchasing_right
72,rdm.usp_rdm_m1004_prc_smb_customer_mapping_new
73,rdm.usp_rdm_m1004_prc_con_customer_mapping_new
74,ods.usp_lecoo_ms_salesdata_detail_final_udl
75,rdm.usp_rdm_t_m1001_lecoo_bu_mapping_smb
76,rdm.usp_rdm_t_m1001_lecoo_bu_mapping_con
77,ods.usp_chinabpportal_ludp_xfdlx_ms_e04_agencyinfo_cdl
78,ods.usp_chinabpportal_ludp_xfdlx_ms_e04_province_cdl
79,rdm.usp_rdm_t_8000_prd_alc_mtm_list
80,ods.usp_chinabpportal_T_Lenovo_Lecoo_SalesData_Daily_ST
81,rdm.usp_rdm_t_0101_bu
82,rdm.usp_rdm_t_m1001_lecoo_cus_sgm_mapping_con
83,rdm.usp_rdm_m1002_prc_con_product_mapping_new
84,rdm.usp_rdm_t_m1001_lecoo_cus_sgm_mapping_smb
85,rdm.usp_rdm_m1002_prc_smb_product_mapping
86,rdm.usp_rdm_t_m1001_lecoo_provider_list
87,rdm.usp_rdm_t_m1001_lecoo_cus_list
88,rdm.usp_rdm_m1001_prc_smb_customer
89,rdm.usp_rdm_t_dailyca_prc_bms_mapping_keychannel
90,rdm.usp_rdm_product_line_to_business_unit
91,ods.usp_fr_t_0102_bu_prf_mapping_new
92,ods.usp_fr_5s_bu_tree_mapping
93,ods.usp_rel_d_orderdatainfo
94,rdm.usp_rdm_m1004_prc_bp_smb_dz_mapping
95,ods.usp_ciop_prc_bms_con_reseller_transformation
96,ods.usp_fr_t_0101_smb_bp_list
97,rdm.usp_rdm_t_m2001_region_combatunit_mapping
98,ods.usp_rel_d_orderdatainfo_xc
99,rdm.usp_rdm_third_party_gpn_mapping
100,rdm.usp_rdm_cdc_and_rdc_shipping_reverse
101,rdm.usp_rdm_t_0101_rel_city_cleaning
102,ods.usp_csdc_ts_sec_stocktransferdatadump
103,ods.usp_rel_d_orderdatadetail_xc
104,dwd_ms.usp_prc_sale_order_hdr
105,dwc_ms.usp_prc_idg_fi_reporting_sale
106,dwd_ms.usp_prc_sale_order_ln_item
107,ods.csdc_ts_sec_stocktransferdatadump
