task No.,task_name,earliest_time,latest_time
0,DWC_MS.USP_PRC_REL_ACTIVATION_IM,18,1439
1,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_SCI_exp,261,1439
2,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_exp,107,1439
3,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_SCI_exp,539,1439
4,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_exp,559,1439
5,cam/cam_ms/fact_prc_pc_region_daily_sell_in_exp,777,1439
6,cam/cam_ms/fact_prc_region_pushout_by_product_no_exp,168,1439
7,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMBCON_exp,771,1439
8,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMB_exp,249,1439
9,cam/cam_ms/fact_prc_region_target_detail_exp,743,1439
10,cam/cam_ms/fact_prc_sd_region_daily_sell_in_exp,681,1439
11,cam/cam_ms/prc_manual_region_sale_actl_exp,259,1439
12,cam_corp.usp_dim_calendar_dt,693,1439
13,cam_corp.usp_dim_calendar_dt_adb_sync,708,1439
14,cam_corp.usp_dim_isg_china_lenovo_area_mapping,758,1439
15,cam_corp.usp_dim_isg_china_manage_region_and_lenovo_region_mapping,783,1439
16,cam_fi.usp_base_ebr_master_fact_delta,724,1439
17,cam_fi.usp_dim_bpc_geo,130,1439
18,cam_fi.usp_dim_current_exrt_to_usd,13,1439
19,cam_fi.usp_dim_fi_meas_backlog_cost_credit_dimension,529,1439
20,cam_fi.usp_dim_fi_pcsd_geo,515,1439
21,cam_fi.usp_dim_fi_pcsd_playbook_seg,110,1439
22,cam_fi.usp_dim_fi_pcsd_prd_high_growth,494,1439
23,cam_fi.usp_dim_fi_pcsd_product,746,1439
24,cam_fi.usp_dim_fi_pcsd_product_ind,460,1439
25,cam_fi.usp_dim_fi_pcsd_seg,789,1439
26,cam_fi.usp_dim_fi_qbr_chnl,253,1439
27,cam_fi.usp_dim_fi_qbr_geo,661,1439
28,cam_fi.usp_dim_fi_qbr_product,514,1439
29,cam_fi.usp_dim_fi_qbr_product_det,284,1439
30,cam_fi.usp_dim_fi_qbr_seg,31,1439
31,cam_fi.usp_dim_global_customer_identification_fi,603,1439
32,cam_fi.usp_dim_isg_cust_group,617,1439
33,cam_fi.usp_dim_isg_product_seg,206,1439
34,cam_fi.usp_dim_lenovo_calendar,294,1439
35,cam_fi.usp_dim_pcr_fiscal_period,463,1439
36,cam_fi.usp_dim_pcr_profit_performance_geo,281,1439
37,cam_fi.usp_dim_pcsd_backlog_product,411,1439
38,cam_fi.usp_dim_pcsd_backlog_profit_performance_geography,499,1439
39,cam_fi.usp_dim_pcsd_backlog_profit_performance_product,119,1439
40,cam_fi.usp_dim_pp_geo_fin,124,1439
41,cam_fi.usp_dim_pp_seg,682,1439
42,cam_fi.usp_dim_product_master_fi,122,1439
43,cam_fi.usp_dim_product_svc_upsell_fi,56,1439
44,cam_fi.usp_dim_svc_upsell_pp_product,30,1439
45,cam_fi.usp_dim_ww_fi_ssg_product_mapping,627,1439
46,cam_fi.usp_exp_fact_isg_prc_fin_backlog_to_mcmt,265,1439
47,cam_fi.usp_exp_fact_isg_prc_fin_backlog_to_tooling,645,1439
48,cam_fi.usp_fact_cx_kpi_measures,523,1439
49,cam_fi.usp_fact_fi_actl_pnl_data_set,23,1439
50,cam_fi.usp_fact_fi_actl_pnl_data_set_new,223,1439
51,cam_fi.usp_fact_fi_meas_daily_transaction_tmc_projection_delta_full,569,1439
52,cam_fi.usp_fact_fi_pcsd_playbook_actual_backlog_dataset,329,1439
53,cam_fi.usp_fact_fi_pcsd_playbook_actual_dataset,380,1439
54,cam_fi.usp_fact_fi_pcsd_playbook_adhoc_dataset,265,1439
55,cam_fi.usp_fact_fi_pcsd_playbook_bpc_dataset,283,1439
56,cam_fi.usp_fact_fi_playbook_ssg_dataset,421,1439
57,cam_fi.usp_fact_fi_qbr_por_consolidated_dataset,784,1439
58,cam_fi.usp_fact_fin_qbr_por_consolidated_data_set_w_qtd,73,1439
59,cam_fi.usp_fact_isg_bms_fin_data_set,6,1439
60,cam_fi.usp_fact_isg_fi_bgt_center_l3_mapping,211,1439
61,cam_fi.usp_fact_isg_fi_mthly_trend_report,5,1439
62,cam_fi.usp_fact_isg_fi_subpackage_mapping,216,1439
63,cam_fi.usp_fact_isg_idc_tracker,428,1439
64,cam_fi.usp_fact_isg_operational_and_ext_pcon,469,1439
65,cam_fi.usp_fact_isg_pipeline,130,1439
66,cam_fi.usp_fact_isg_prc_jv_rev_and_cost_report_exp_adb_sync,400,1439
67,cam_fi.usp_fact_isg_prc_ledger_detail_report_adb_sync,491,1439
68,cam_fi.usp_fact_isg_seg_master_coo_budapest,326,1439
69,cam_fi.usp_fact_isg_seg_master_coo_cost,470,1439
70,cam_fi.usp_fact_isg_seg_master_coo_monterrey,323,1439
71,cam_fi.usp_fact_isg_seg_master_kpi_hpc,19,1439
72,cam_fi.usp_fact_isg_seg_master_kpi_mega,490,1439
73,cam_fi.usp_fact_isg_seg_master_kpi_pipeline_projection,445,1439
74,cam_fi.usp_fact_isg_seg_master_kpi_prc_loads,745,1439
75,cam_fi.usp_fact_isg_seg_master_kpi_prc_pipeline,574,1439
76,cam_fi.usp_fact_isg_seg_master_kpi_sale_ops,8,1439
77,cam_fi.usp_fact_isg_seg_master_kpi_server,443,1439
78,cam_fi.usp_fact_isg_seg_performance_geo_load_track,280,1439
79,cam_fi.usp_fact_isg_seg_performance_loads_data_set,348,1439
80,cam_fi.usp_fact_isg_seg_performance_order_loads_detail,536,1439
81,cam_fi.usp_fact_isg_sw_rev_by_vendor,38,1439
82,cam_fi.usp_fact_optimus_sw_details,40,1439
83,cam_fi.usp_fact_pcsd_backlog_master,628,1439
84,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset,360,1439
85,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset_new,361,1439
86,cam_fi.usp_fact_pcsd_prc_order_lvl_sell_through_in_report,130,1439
87,cam_fi.usp_fact_prc_new_ebr_sti_master_delta,434,1439
88,cam_fi.usp_fact_qtd_load_query,50,1439
89,cam_fi.usp_fact_row_fi_meas_master_delta_full,360,1439
90,cam_fi.usp_fact_row_fi_svc_upsell_meas_master,195,1439
91,cam_fi.usp_fact_row_fin_pnl_statement_sum_with_full_pti,187,1439
92,cam_fi.usp_fact_row_new_ebr_master_all_delta,577,1439
93,cam_fi.usp_fact_ssg_gaap_projection_amortization,633,1439
94,cam_fi.usp_fact_ssg_gaap_projection_amortization_sum,537,1439
95,cam_fi.usp_fact_ssg_gaap_projection_daily_sum,150,1439
96,cam_fi.usp_fact_ssg_svc_pnl_detail,743,1439
97,cam_fi.usp_fact_swr_tracking,210,1439
98,cam_fi.usp_fact_wh_shipext_by,379,1439
99,cam_fi.usp_fact_ww_aging_mv_fiag003a,664,1439
100,cam_fi.usp_fi_pcsd_bpc_dataset_series,457,1439
101,cam_fi.usp_fi_pcsd_prd_series,728,1439
102,cam_fi.usp_fin_meas_profit_performance_data_set,691,1439
103,cam_fi.usp_fin_qtr_business_review_and_plan_of_record_data_set,547,1439
104,cam_fi.usp_finance_pcsd_playbook_fctot_case,608,1439
105,cam_fi.usp_isg_idc_manual_input_file,256,1439
106,cam_fi.usp_pbi_analysis_bw_row,29,1439
107,cam_fi.usp_prc_new_ebr_master_fact_delta,581,1439
108,cam_fi.usp_pscd_fin_meas_playbook_data_set,743,1439
109,cam_ms.USP_fact_prc_rel_quotation_proj_principal_information;,385,1439
110,cam_ms.USP_fact_prc_rel_quotation_proj_product_information;,245,1439
111,cam_ms.usp_csdc_bu_area_mapping,119,1439
112,cam_ms.usp_csdc_bu_business_line,403,1439
113,cam_ms.usp_csdc_bu_customer,417,1439
114,cam_ms.usp_csdc_fact_prc_con_aged_inv_by_product_no_detail,645,1439
115,cam_ms.usp_csdc_fact_prc_con_logical_inv_order_detail,390,1439
116,cam_ms.usp_csdc_fact_prc_con_pushout_by_product_no_detail,661,1439
117,cam_ms.usp_csdc_fact_prc_con_pushout_by_serial_no_detail,165,1439
118,cam_ms.usp_csdc_fact_prc_con_reseller_inv_detail,776,1439
119,cam_ms.usp_csdc_fact_prc_con_sell_through_in_by_product_no_detail,560,1439
120,cam_ms.usp_csdc_fact_prc_con_sell_through_in_by_serial_no_detail,192,1439
121,cam_ms.usp_csdc_fact_prc_con_sell_through_in_extension_detail,50,1439
122,cam_ms.usp_csdc_fact_prc_con_serial_no_owner,82,1439
123,cam_ms.usp_csdc_fact_prc_con_transfer_by_product_no_detail,486,1439
124,cam_ms.usp_csdc_fact_prc_con_transfer_by_serial_no_detail,620,1439
125,cam_ms.usp_csdc_inv_cam,676,1439
126,cam_ms.usp_csdc_job_run_cam,462,1439
127,cam_ms.usp_csdc_product_detail,221,1439
128,cam_ms.usp_csdc_pushout_detail_cam,97,1439
129,cam_ms.usp_csdc_sec_by_sn_operate_up,217,1439
130,cam_ms.usp_csdc_ssdc_pc_region_si_data_offer_summary,560,1439
131,cam_ms.usp_csdc_ssdc_region_inv_data_offer_summary,414,1439
132,cam_ms.usp_csdc_ssdc_region_pushout_data_offer_summary,151,1439
133,cam_ms.usp_csdc_ssdc_region_sti_data_offer_summary,693,1439
134,cam_ms.usp_csdc_ssdc_sd_region_si_data_offer_summary,650,1439
135,cam_ms.usp_csdc_sti_manual_data,581,1439
136,cam_ms.usp_csdc_stock_adj_cam,612,1439
137,cam_ms.usp_csdc_sync_inv_age_cam,642,1439
138,cam_ms.usp_csdc_sync_inv_age_value_cam,149,1439
139,cam_ms.usp_dim_acnt,593,1439
140,cam_ms.usp_dim_calendar,21,1439
141,cam_ms.usp_dim_isg_prc_calendar,178,1439
142,cam_ms.usp_dim_prc_acnt,357,1439
143,cam_ms.usp_dim_prc_business_unit_hier,265,1439
144,cam_ms.usp_dim_prc_cust_seg_hier,425,1439
145,cam_ms.usp_dim_prc_product,357,1439
146,cam_ms.usp_dim_prc_sales_product_base,532,1439
147,cam_ms.usp_dim_prc_sales_product_div_mapping,196,1439
148,cam_ms.usp_dim_prc_sales_product_hier,733,1439
149,cam_ms.usp_dim_prc_sales_solution_hier,273,1439
150,cam_ms.usp_dim_prc_sales_solution_instance,293,1439
151,cam_ms.usp_dim_prc_sell_through_in_acnt,104,1439
152,cam_ms.usp_exp_fact_isg_prc_pipeline,180,1439
153,cam_ms.usp_fact_daily_lecoo_sell_in,743,1439
154,cam_ms.usp_fact_isg_prc_cust_and_product_seg_loads,711,1439
155,cam_ms.usp_fact_isg_prc_cust_seg_pipeline,288,1439
156,cam_ms.usp_fact_isg_prc_full_data,170,1439
157,cam_ms.usp_fact_isg_prc_full_data_hb_sb,428,1439
158,cam_ms.usp_fact_isg_prc_full_data_holographic,757,1439
159,cam_ms.usp_fact_isg_prc_full_data_jv,606,1439
160,cam_ms.usp_fact_isg_prc_full_data_manual_billing,491,1439
161,cam_ms.usp_fact_isg_prc_full_data_psidc,521,1439
162,cam_ms.usp_fact_isg_prc_full_data_srv,226,1439
163,cam_ms.usp_fact_isg_prc_order_fulfill_with_pipeline,653,1439
164,cam_ms.usp_fact_isg_prc_pipeline,283,1439
165,cam_ms.usp_fact_isg_prc_svc_order_fulfill_with_pipeline,43,1439
166,cam_ms.usp_fact_prc_agg_eff_sales_order,338,1439
167,cam_ms.usp_fact_prc_agg_sell_in,122,1439
168,cam_ms.usp_fact_prc_agg_sell_in_init,690,1439
169,cam_ms.usp_fact_prc_aggregated_sell_through_in,354,1439
170,cam_ms.usp_fact_prc_daily_aging_fgi,277,1439
171,cam_ms.usp_fact_prc_daily_eff_sales_order,281,1439
172,cam_ms.usp_fact_prc_daily_fgi_all,123,1439
