task No.,task_name,execution_time,resource_load,earliest_time,latest_time
0,DWC_MS.USP_PRC_REL_ACTIVATION_IM,4,0.066,18,1439
1,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_SCI_exp,9,0.063,261,1439
2,cam/cam_ms/fact_prc_idg_pc_daily_sell_in_exp,6,0.073,107,1439
3,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_SCI_exp,5,0.078,539,1439
4,cam/cam_ms/fact_prc_idg_sd_daily_sell_in_exp,4,0.046,559,1439
5,cam/cam_ms/fact_prc_pc_region_daily_sell_in_exp,4,0.07,777,1439
6,cam/cam_ms/fact_prc_region_pushout_by_product_no_exp,10,0.065,168,1439
7,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMBCON_exp,4,0.071,771,1439
8,cam/cam_ms/fact_prc_region_sell_through_in_by_product_no_SMB_exp,3,0.047,249,1439
9,cam/cam_ms/fact_prc_region_target_detail_exp,5,0.037,743,1439
10,cam/cam_ms/fact_prc_sd_region_daily_sell_in_exp,3,0.049,681,1439
11,cam/cam_ms/prc_manual_region_sale_actl_exp,2,0.041,259,1439
12,cam_corp.usp_dim_calendar_dt,8,0.077,693,1439
13,cam_corp.usp_dim_calendar_dt_adb_sync,11,0.07,708,1439
14,cam_corp.usp_dim_isg_china_lenovo_area_mapping,1,0.04,758,1439
15,cam_corp.usp_dim_isg_china_manage_region_and_lenovo_region_mapping,1,0.058,783,1439
16,cam_fi.usp_base_ebr_master_fact_delta,3,0.036,724,1439
17,cam_fi.usp_dim_bpc_geo,1,0.033,130,1439
18,cam_fi.usp_dim_current_exrt_to_usd,1,0.043,13,1439
19,cam_fi.usp_dim_fi_meas_backlog_cost_credit_dimension,1,0.044,529,1439
20,cam_fi.usp_dim_fi_pcsd_geo,1,0.048,515,1439
21,cam_fi.usp_dim_fi_pcsd_playbook_seg,1,0.049,110,1439
22,cam_fi.usp_dim_fi_pcsd_prd_high_growth,1,0.073,494,1439
23,cam_fi.usp_dim_fi_pcsd_product,1,0.046,746,1439
24,cam_fi.usp_dim_fi_pcsd_product_ind,1,0.074,460,1439
25,cam_fi.usp_dim_fi_pcsd_seg,1,0.068,789,1439
26,cam_fi.usp_dim_fi_qbr_chnl,1,0.069,253,1439
27,cam_fi.usp_dim_fi_qbr_geo,1,0.073,661,1439
28,cam_fi.usp_dim_fi_qbr_product,1,0.038,514,1439
29,cam_fi.usp_dim_fi_qbr_product_det,1,0.06,284,1439
30,cam_fi.usp_dim_fi_qbr_seg,1,0.074,31,1439
31,cam_fi.usp_dim_global_customer_identification_fi,1,0.032,603,1439
32,cam_fi.usp_dim_isg_cust_group,1,0.046,617,1439
33,cam_fi.usp_dim_isg_product_seg,1,0.037,206,1439
34,cam_fi.usp_dim_lenovo_calendar,1,0.077,294,1439
35,cam_fi.usp_dim_pcr_fiscal_period,1,0.04,463,1439
36,cam_fi.usp_dim_pcr_profit_performance_geo,1,0.061,281,1439
37,cam_fi.usp_dim_pcsd_backlog_product,1,0.044,411,1439
38,cam_fi.usp_dim_pcsd_backlog_profit_performance_geography,1,0.064,499,1439
39,cam_fi.usp_dim_pcsd_backlog_profit_performance_product,1,0.068,119,1439
40,cam_fi.usp_dim_pp_geo_fin,1,0.046,124,1439
41,cam_fi.usp_dim_pp_seg,1,0.066,682,1439
42,cam_fi.usp_dim_product_master_fi,4,0.06,122,1439
43,cam_fi.usp_dim_product_svc_upsell_fi,1,0.039,56,1439
44,cam_fi.usp_dim_svc_upsell_pp_product,1,0.049,30,1439
45,cam_fi.usp_dim_ww_fi_ssg_product_mapping,1,0.041,627,1439
46,cam_fi.usp_exp_fact_isg_prc_fin_backlog_to_mcmt,1,0.075,265,1439
47,cam_fi.usp_exp_fact_isg_prc_fin_backlog_to_tooling,1,0.031,645,1439
48,cam_fi.usp_fact_cx_kpi_measures,1,0.032,523,1439
49,cam_fi.usp_fact_fi_actl_pnl_data_set,8,0.073,23,1439
50,cam_fi.usp_fact_fi_actl_pnl_data_set_new,6,0.056,223,1439
51,cam_fi.usp_fact_fi_meas_daily_transaction_tmc_projection_delta_full,3,0.04,569,1439
52,cam_fi.usp_fact_fi_pcsd_playbook_actual_backlog_dataset,1,0.033,329,1439
53,cam_fi.usp_fact_fi_pcsd_playbook_actual_dataset,2,0.056,380,1439
54,cam_fi.usp_fact_fi_pcsd_playbook_adhoc_dataset,1,0.033,265,1439
55,cam_fi.usp_fact_fi_pcsd_playbook_bpc_dataset,1,0.037,283,1439
56,cam_fi.usp_fact_fi_playbook_ssg_dataset,1,0.032,421,1439
57,cam_fi.usp_fact_fi_qbr_por_consolidated_dataset,1,0.042,784,1439
58,cam_fi.usp_fact_fin_qbr_por_consolidated_data_set_w_qtd,2,0.055,73,1439
59,cam_fi.usp_fact_isg_bms_fin_data_set,3,0.059,6,1439
60,cam_fi.usp_fact_isg_fi_bgt_center_l3_mapping,1,0.073,211,1439
61,cam_fi.usp_fact_isg_fi_mthly_trend_report,1,0.057,5,1439
62,cam_fi.usp_fact_isg_fi_subpackage_mapping,1,0.035,216,1439
63,cam_fi.usp_fact_isg_idc_tracker,2,0.033,428,1439
64,cam_fi.usp_fact_isg_operational_and_ext_pcon,1,0.073,469,1439
65,cam_fi.usp_fact_isg_pipeline,1,0.066,130,1439
66,cam_fi.usp_fact_isg_prc_jv_rev_and_cost_report_exp_adb_sync,1,0.055,400,1439
67,cam_fi.usp_fact_isg_prc_ledger_detail_report_adb_sync,1,0.058,491,1439
68,cam_fi.usp_fact_isg_seg_master_coo_budapest,1,0.073,326,1439
69,cam_fi.usp_fact_isg_seg_master_coo_cost,1,0.039,470,1439
70,cam_fi.usp_fact_isg_seg_master_coo_monterrey,1,0.064,323,1439
71,cam_fi.usp_fact_isg_seg_master_kpi_hpc,1,0.031,19,1439
72,cam_fi.usp_fact_isg_seg_master_kpi_mega,1,0.042,490,1439
73,cam_fi.usp_fact_isg_seg_master_kpi_pipeline_projection,1,0.049,445,1439
74,cam_fi.usp_fact_isg_seg_master_kpi_prc_loads,1,0.068,745,1439
75,cam_fi.usp_fact_isg_seg_master_kpi_prc_pipeline,1,0.039,574,1439
76,cam_fi.usp_fact_isg_seg_master_kpi_sale_ops,1,0.079,8,1439
77,cam_fi.usp_fact_isg_seg_master_kpi_server,1,0.055,443,1439
78,cam_fi.usp_fact_isg_seg_performance_geo_load_track,1,0.061,280,1439
79,cam_fi.usp_fact_isg_seg_performance_loads_data_set,1,0.039,348,1439
80,cam_fi.usp_fact_isg_seg_performance_order_loads_detail,1,0.056,536,1439
81,cam_fi.usp_fact_isg_sw_rev_by_vendor,1,0.034,38,1439
82,cam_fi.usp_fact_optimus_sw_details,1,0.047,40,1439
83,cam_fi.usp_fact_pcsd_backlog_master,3,0.062,628,1439
84,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset,3,0.076,360,1439
85,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset_new,11,0.062,361,1439
86,cam_fi.usp_fact_pcsd_prc_order_lvl_sell_through_in_report,2,0.069,130,1439
87,cam_fi.usp_fact_prc_new_ebr_sti_master_delta,1,0.031,434,1439
88,cam_fi.usp_fact_qtd_load_query,1,0.032,50,1439
89,cam_fi.usp_fact_row_fi_meas_master_delta_full,18,0.048,360,1439
90,cam_fi.usp_fact_row_fi_svc_upsell_meas_master,9,0.045,195,1439
91,cam_fi.usp_fact_row_fin_pnl_statement_sum_with_full_pti,1,0.066,187,1439
92,cam_fi.usp_fact_row_new_ebr_master_all_delta,11,0.048,577,1439
93,cam_fi.usp_fact_ssg_gaap_projection_amortization,40,0.031,633,1439
94,cam_fi.usp_fact_ssg_gaap_projection_amortization_sum,11,0.077,537,1439
95,cam_fi.usp_fact_ssg_gaap_projection_daily_sum,2,0.042,150,1439
96,cam_fi.usp_fact_ssg_svc_pnl_detail,14,0.036,743,1439
97,cam_fi.usp_fact_swr_tracking,2,0.078,210,1439
98,cam_fi.usp_fact_wh_shipext_by,1,0.064,379,1439
99,cam_fi.usp_fact_ww_aging_mv_fiag003a,1,0.031,664,1439
100,cam_fi.usp_fi_pcsd_bpc_dataset_series,1,0.076,457,1439
101,cam_fi.usp_fi_pcsd_prd_series,1,0.064,728,1439
102,cam_fi.usp_fin_meas_profit_performance_data_set,1,0.037,691,1439
103,cam_fi.usp_fin_qtr_business_review_and_plan_of_record_data_set,8,0.046,547,1439
104,cam_fi.usp_finance_pcsd_playbook_fctot_case,1,0.042,608,1439
105,cam_fi.usp_isg_idc_manual_input_file,1,0.071,256,1439
106,cam_fi.usp_pbi_analysis_bw_row,1,0.068,29,1439
107,cam_fi.usp_prc_new_ebr_master_fact_delta,9,0.051,581,1439
108,cam_fi.usp_pscd_fin_meas_playbook_data_set,3,0.045,743,1439
109,cam_ms.USP_fact_prc_rel_quotation_proj_principal_information;,3,0.076,385,1439
110,cam_ms.USP_fact_prc_rel_quotation_proj_product_information;,6,0.034,245,1439
111,cam_ms.usp_csdc_bu_area_mapping,2,0.067,119,1439
112,cam_ms.usp_csdc_bu_business_line,4,0.035,403,1439
113,cam_ms.usp_csdc_bu_customer,2,0.054,417,1439
114,cam_ms.usp_csdc_fact_prc_con_aged_inv_by_product_no_detail,1,0.049,645,1439
115,cam_ms.usp_csdc_fact_prc_con_logical_inv_order_detail,1,0.049,390,1439
116,cam_ms.usp_csdc_fact_prc_con_pushout_by_product_no_detail,1,0.037,661,1439
117,cam_ms.usp_csdc_fact_prc_con_pushout_by_serial_no_detail,16,0.037,165,1439
118,cam_ms.usp_csdc_fact_prc_con_reseller_inv_detail,1,0.075,776,1439
119,cam_ms.usp_csdc_fact_prc_con_sell_through_in_by_product_no_detail,1,0.057,560,1439
120,cam_ms.usp_csdc_fact_prc_con_sell_through_in_by_serial_no_detail,1,0.076,192,1439
121,cam_ms.usp_csdc_fact_prc_con_sell_through_in_extension_detail,1,0.074,50,1439
122,cam_ms.usp_csdc_fact_prc_con_serial_no_owner,6,0.068,82,1439
123,cam_ms.usp_csdc_fact_prc_con_transfer_by_product_no_detail,1,0.043,486,1439
124,cam_ms.usp_csdc_fact_prc_con_transfer_by_serial_no_detail,1,0.058,620,1439
125,cam_ms.usp_csdc_inv_cam,1,0.03,676,1439
126,cam_ms.usp_csdc_job_run_cam,1,0.047,462,1439
127,cam_ms.usp_csdc_product_detail,2,0.076,221,1439
128,cam_ms.usp_csdc_pushout_detail_cam,16,0.068,97,1439
